Precio,Nombre de barrio
19.94,PALACIO             
15.04,IMPERIAL            
15.21,PACIFICO            
23.99,RECOLETOS           
17.44,EL VISO             
16.3,BELLAS VISTAS       
18.55,GAZTAMBIDE          
11.01,EL PARDO            
13.15,CASA DE CAMPO       
11.47,LOS CARMENES        
12.62,COMILLAS            
7.97,ORCASITAS           
10.99,ENTREVIAS           
11.9,PAVONES             
12.62,VENTAS              
13.19,PALOMAS             
11.38,VILLAVERDE ALTO C.H.
9.42,CASCO H.VALLECAS    
11.24,CASCO H.VICALVARO   
12.47,SIMANCAS            
10.73,ALAMEDA DE OSUNA    
20.96,EMBAJADORES         
15.57,ACACIAS             
19.26,ADELFAS             
20.53,GOYA                
16.4,PROSPERIDAD         
18.84,CUATRO CAMINOS      
17.07,ARAPILES            
11.29,FUENTELARREINA      
20.66,ARGUELLES           
14.11,PUERTA DEL ANGEL    
11.74,OPANEL              
10.49,ORCASUR             
13.29,SAN DIEGO           
8.85,HORCAJO             
13.39,PUEBLO NUEVO        
13.31,PIOVERA             
9.96,SAN CRISTOBAL       
9.07,SANTA EUGENIA       
8.85,VALDEBERNARDO       
9.16,HELLIN              
10.83,AEROPUERTO          
23.09,CORTES              
14.67,CHOPERA             
13.64,ESTRELLA            
17.02,FUENTE DEL BERRO    
17.8,CIUDAD JARDIN       
17.53,CASTILLEJOS         
20.05,TRAFALGAR           
12.81,PENA GRANDE         
12.91,CIUDAD UNIVERSITARIA
10.77,LUCERO              
12.88,SAN ISIDRO          
10.35,SAN FERMIN          
10.97,PALOMERAS BAJAS     
10.78,MARROQUINA          
13.94,QUINTANA            
13.94,CANILLAS            
10.46,BUTARQUE            
11.4,ENSANCHE DE VALLECAS
9.18,VALDERRIVAS         
11.15,AMPOSTA             
11.49,CASCO H.BARAJAS     
22.76,JUSTICIA            
14.21,LEGAZPI             
18.47,IBIZA               
17.6,GUINDALERA          
18.19,HISPANOAMERICA      
14.85,ALMENARA            
19.29,ALMAGRO             
13.22,EL PILAR            
13.17,VALDEZARZA          
10.44,ALUCHE              
12.65,VISTA ALEGRE        
13.53,ALMENDRALES         
10.78,PALOMERAS SURESTE   
14.52,MEDIA LEGUA         
12.3,CONCEPCION          
12.51,PINAR DEL REY       
13.11,LOS ROSALES         
7.97,EL CANAVERAL        
10.77,ARCOS               
12.04,TIMON               
20.72,UNIVERSIDAD         
16.07,DELICIAS            
20.84,LOS JERONIMOS       
19.53,LISTA               
17.38,NUEVA ESPANA        
14.81,VALDEACEDERAS       
19.59,RIOS ROSAS          
12.03,LA PAZ              
12.72,VALDEMARIN          
11.78,CAMPAMENTO          
10.92,PUERTA BONITA       
11.81,MOSCARDO            
10.24,PORTAZGO            
10.25,FONTARRON           
14.15,SAN PASCUAL         
10.91,APOSTOL SANTIAGO    
10.3,LOS ANGELES         
11.19,ROSAS               
12.56,CORRALEJOS          
21.07,SOL                 
15.28,PALOS DE MOGUER     
15.97,NINO JESUS          
19.95,CASTELLANA          
15.03,CASTILLA            
14.4,BERRUGUETE          
18.78,VALLEHERMOSO        
12.7,VALVERDE            
10.36,EL PLANTIO          
10.38,CUATRO VIENTOS      
10.31,BUENAVISTA          
10.61,ZOFIO               
11.91,NUMANCIA            
12.99,VINATEROS           
14.01,SAN JUAN BAUTISTA   
12.85,VALDEFUENTES        
12.2,REJAS               
15.74,ATOCHA              
10.74,MIRASIERRA          
11.31,ARAVACA             
10.36,LAS AGUILAS         
10.72,ABRANTES            
11.79,PRADOLONGO          
15.66,COLINA              
9.8,CANILLEJAS          
13.02,EL GOLOSO           
14.87,ATALAYA             
10.99,EL SALVADOR         
13.89,COSTILLARES         
